case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:13:46,2026-05-21 20:14:15,28.39,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,327,15664
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:14:29,2026-05-21 20:14:44,15.19,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,123,8404
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:15:01,2026-05-21 20:15:26,24.44,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,449,13446
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:15:48,2026-05-21 20:16:15,27.04,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,353,15107
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:16:30,2026-05-21 20:16:44,13.33,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,163,7680
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:17:04,2026-05-21 20:17:19,14.42,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,143,8346
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:17:39,2026-05-21 20:18:17,37.30,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,505,20537
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:18:36,2026-05-21 20:19:00,24.00,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,321,14509
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:19:19,2026-05-21 20:19:55,35.89,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,390,21215
Code\Step_3_Case_Languages\xtext-orm,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:20:13,2026-05-21 20:20:43,29.27,Code\Step_3_Case_Languages\xtext-orm\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,275,15556
