case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:00:18,2026-05-21 20:00:25,6.29,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,106,3489
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:00:42,2026-05-21 20:00:47,4.46,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,86,2567
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:01:07,2026-05-21 20:01:15,7.63,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,123,4376
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:01:30,2026-05-21 20:01:38,8.57,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,165,5030
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:01:51,2026-05-21 20:01:59,7.15,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,115,3834
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:02:19,2026-05-21 20:02:27,8.68,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,202,5307
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:02:44,2026-05-21 20:02:52,7.89,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,107,3610
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:03:07,2026-05-21 20:03:16,9.34,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,175,5549
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:03:34,2026-05-21 20:03:41,7.38,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,151,3802
Code\Step_3_Case_Languages\mongoBeans,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:04:00,2026-05-21 20:04:11,11.04,Code\Step_3_Case_Languages\mongoBeans\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,225,6679
